"Timestamp,""Participant ID (top-right corner of the screen)"",""How old are you?"",""Gender?"",""What describes you the best?"",""How comfortable are you in expressing emotions?"",""Have you ever played with the drummer bot dB before?"",""How much prior experience do you have with interactive musical interfaces (e.g. sensor systems. digital control devices)?"",""How often do you use AI tools for creativity (e.g. writing. coding. music. fine arts. food recipes. etc.)?"",""Please indicate if you have any of the following health problems.""";
"2024/11/04 5:15:10 PM GMT+1,""test"",""66"",""Prefer not to say"",""Student/semi-professional musician"",""3"",""Yes"",""4"",""4"",""anan""";
"2024/11/05 12:45:26 PM GMT+1,""11"",""11"",""Prefer not to say"",""Student/semi-professional musician"",""0"",""No"",""0"",""0"",""Test""";
"2024/11/05 5:39:46 PM GMT+1,""andsti-01"",""25"",""Male"",""Avid music listener"",""2"",""No"",""2"",""1"",""""";
"2024/11/05 5:49:00 PM GMT+1,""andsti-01"",""25"",""Male"",""Avid music listener"",""2"",""No"",""2"",""1"",""""";
"2024/11/05 6:52:10 PM GMT+1,""grup16"",""21"",""Female"",""Avid music listener"",""4"",""No"",""0"",""2"",""""";
"2024/11/05 10:32:50 PM GMT+1,""andsti-02"",""25"",""Female"",""Student/semi-professional musician"",""0"",""No"",""1"",""4"",""ADHD";"adhd er ikke en """"health problem"""""""
"2024/11/05 10:43:20 PM GMT+1,""1"",""2"",""Male"",""Professional musician"",""0"",""Yes"",""0"",""0"",""Hearing problems""";
"2024/11/06 12:08:45 AM GMT+1,""kenanha"",""38"",""Male"",""Not particularly interested in music"",""4"",""No"",""3"",""4"",""Hearing problems""";
"2024/11/06 12:13:31 AM GMT+1,""Aos"",""11"",""Male"",""Not particularly interested in music"",""4"",""No"",""3"",""2"",""""";
"2024/11/06 11:27:51 AM GMT+1,""andsti-03"",""22"",""Female"",""Avid music listener"",""4"",""No"",""1"",""2"",""""";
"2024/11/06 11:29:35 AM GMT+1,""andsti-04"",""24"",""Female"",""Averagely interested in music"",""3"",""No"",""1"",""1"",""""";
"2024/11/06 11:35:53 AM GMT+1,""andsti-03"",""22"",""Female"",""Avid music listener"",""4"",""No"",""2"",""2"",""""";
"2024/11/06 11:36:48 AM GMT+1,""andsti-04"",""24"",""Female"",""Averagely interested in music"",""3"",""No"",""2"",""3"",""""";
"2024/11/06 12:09:10 PM GMT+1,""group21-11"",""49"",""Male"",""Not particularly interested in music"",""2"",""No"",""0"",""3"",""""";
"2024/11/06 12:16:11 PM GMT+1,""andsti-05"",""24"",""Female"",""Avid music listener"",""2"",""No"",""1"",""3"",""""";
"2024/11/06 12:42:02 PM GMT+1,""andsti-06"",""23"",""Female"",""Averagely interested in music"",""3"",""No"",""1"",""2"",""""";
"2024/11/06 12:50:17 PM GMT+1,""pluto1"",""22"",""Male"",""Avid music listener"",""4"",""No"",""2"",""4"",""""";
"2024/11/06 12:53:42 PM GMT+1,""group21-12"",""55"",""Male"",""Student/semi-professional musician"",""2"",""No"",""2"",""0"",""""";
"2024/11/06 1:07:41 PM GMT+1,""andsti-07"",""25"",""Male"",""Avid music listener"",""3"",""No"",""1"",""4"",""""";
"2024/11/06 1:28:57 PM GMT+1,""pluto2"",""21"",""Male"",""Student/semi-professional musician"",""3"",""No"",""3"",""2"",""""";
"2024/11/06 2:07:23 PM GMT+1,""sigvebl"",""26"",""Male"",""Averagely interested in music"",""1"",""No"",""0"",""2"",""""";
"2024/11/06 2:11:34 PM GMT+1,""sigvebl"",""26"",""Male"",""Averagely interested in music"",""1"",""No"",""0"",""2"",""""";
"2024/11/06 2:11:42 PM GMT+1,""pluto3"",""23"",""Male"",""Avid music listener"",""3"",""No"",""0"",""1"",""""";
"2024/11/06 2:51:27 PM GMT+1,""G17P1"",""22"",""Male"",""Student/semi-professional musician"",""3"",""No"",""3"",""2"",""ADHD""";
"2024/11/06 3:19:43 PM GMT+1,""gr2"",""32"",""Male"",""Averagely interested in music"",""3"",""No"",""1"",""2"",""""";
"2024/11/06 3:30:55 PM GMT+1,""g17p2"",""24"",""Male"",""Avid music listener"",""2"",""No"",""1"",""2"",""""";
"2024/11/06 3:35:37 PM GMT+1,""G17P3"",""23"",""Male"",""Avid music listener"",""2"",""No"",""1"",""2"",""""";
"2024/11/06 3:41:27 PM GMT+1,""trikk1"",""19"",""Female"",""Averagely interested in music"",""1"",""No"",""0"",""2"",""""";
"2024/11/06 3:46:09 PM GMT+1,""gr2-2"",""25"",""Male"",""Averagely interested in music"",""3"",""No"",""0"",""4"",""""";
"2024/11/06 4:05:16 PM GMT+1,""torham"",""26"",""Male"",""Averagely interested in music"",""2"",""No"",""1"",""1"",""""";
"2024/11/06 4:28:11 PM GMT+1,""gr2"",""24"",""Male"",""Not particularly interested in music"",""1"",""No"",""0"",""4"",""""";
"2024/11/06 4:33:58 PM GMT+1,""MMM"",""24"",""Male"",""Not particularly interested in music"",""1"",""No"",""0"",""4"",""""";
"2024/11/06 4:57:21 PM GMT+1,""group19_1"",""22"",""Male"",""Avid music listener"",""4"",""No"",""1"",""3"",""""";
"2024/11/06 5:49:18 PM GMT+1,""G17P4"",""24"",""Male"",""Not particularly interested in music"",""2"",""No"",""0"",""0"",""""";
"2024/11/06 5:53:24 PM GMT+1,""group19_2"",""22"",""Male"",""Avid music listener"",""4"",""No"",""3"",""1"",""""";
"2024/11/06 5:54:14 PM GMT+1,""G17P4"",""24"",""Male"",""Not particularly interested in music"",""2"",""No"",""0"",""0"",""""";
"2024/11/06 5:56:35 PM GMT+1,""G17P4"",""24"",""Male"",""Not particularly interested in music"",""2"",""No"",""0"",""0"",""""";
"2024/11/06 6:35:31 PM GMT+1,""G17P5"",""24"",""Male"",""Not particularly interested in music"",""0"",""No"",""0"",""0"",""""";
"2024/11/06 6:43:50 PM GMT+1,""group15a"",""23"",""Female"",""Averagely interested in music"",""3"",""No"",""1"",""2"",""""";
"2024/11/06 6:46:56 PM GMT+1,""group15a"",""23"",""Female"",""Averagely interested in music"",""3"",""No"",""1"",""2"",""""";
"2024/11/06 6:50:37 PM GMT+1,""9683b13d8a1ae94ab13c1f581f10267ac2ce8dcba1e97732f6a903c030732f83"",""24"",""Male"",""Averagely interested in music"",""2"",""No"",""0"",""2"",""""";
"2024/11/06 7:13:00 PM GMT+1,""f7a1b71e617c1d65b45795244b353644ba6deadf5f6c4dfc477a13e459762068"",""26"",""Male"",""Not particularly interested in music"",""3"",""No"",""0"",""1"",""ADHD""";
"2024/11/06 7:28:14 PM GMT+1,""1767f7d3d4f6df72966e256344518834a6a02c1974338e9993dac2fae82805bd"",""27"",""Male"",""Student/semi-professional musician"",""4"",""No"",""3"",""0"",""""";
"2024/11/06 7:34:00 PM GMT+1,""group19_3"",""21"",""Male"",""Averagely interested in music"",""2"",""No"",""1"",""2"",""""";
"2024/11/06 7:53:46 PM GMT+1,""dogdt1"",""23"",""Female"",""Avid music listener"",""3"",""No"",""0"",""1"",""""";
"2024/11/06 7:53:53 PM GMT+1,""Kenan"",""38"",""Male"",""Not particularly interested in music"",""4"",""No"",""1"",""3"",""Hearing problems""";
"2024/11/06 8:30:07 PM GMT+1,""hallachief"",""23"",""Male"",""Student/semi-professional musician"",""3"",""No"",""4"",""3"",""""";
"2024/11/06 8:31:05 PM GMT+1,""Aos"",""11"",""Male"",""Averagely interested in music"",""3"",""No"",""1"",""1"",""""";
"2024/11/06 10:14:41 PM GMT+1,""Magnus!!!!!!!"",""25"",""Male"",""Averagely interested in music"",""3"",""No"",""0"",""4"",""""";
"2024/11/07 9:37:19 AM GMT+1,""fastturtle"",""23"",""Male"",""Averagely interested in music"",""2"",""No"",""1"",""2"",""""";
